names,ID,Lon,Lat,Diam,RA95,Age,Sara May 25 age (myr),New age - old age,Comments,RA95 July 6 2016,Age July 6 (myr),July 6 age (Arist = 108 myr) - June 22 age (Arist = 175 myr)
Copernicus,C2,339.92969,9.6328,96700,0.01187,797.00,797,0.00,,0.01187,797.0,0.00
Tycho,C5,348.71469,-43.2589,85700,0.03865,85.00,85,0.00,,0.03865,85.0,0.00
King,C7,120.4922,4.9375,76200,0.01144,992.00,992,0.00,,0.01144,992.0,0.00
Jackson,C8,196.6895,22.04,71400,0.02026,147.00,147,0.00,,0.02026,147.0,0.00
Ohm,C10,246.27397,18.28491,64300,0.01885,344.70,319.1,25.60,"increased diameter to avoid rim, slightly tightened ejecta, removed melt",0.01885,319.9,-24.81
Anaxagoras,C13,349.84981,73.47243,52900,0.01318,733.65,618.1,115.55,"increased diameter to avoid rim, removed melt",0.01318,674.7,-58.98
Crookes,C15,194.91659,-10.38596,51500,0.01514,547.01,361.1,185.91,"increased diameter to avoid rim, slightly tightened ejecta, removed melt",0.01514,504.8,-42.19
Glushko,C17,282.30728,8.14047,43100,0.02307,225.03,156.1,68.93,"increased diameter to avoid rim, removed melt",0.02307,209.9,-15.12
Aristarchus,C19,312.50781,23.7422,40000,0.03147,175.00,175,0.00,,0.03147,108.0,-67.00
Necho,C21,123.2461,-5.2266,36800,0.03541,80.00,80,0.00,,0.03541,80.0,0.00
Das,C656,222.95444,-26.50499,36400,0.01243,830.14,856.8,-26.66,"increased diameter to avoid rim, tightened ejecta",0.01243,762.3,-67.87
Petavius B,C24,57.03722,-19.93235,34400,0.02154,259.88,251,8.88,"increased diameter to avoid rim, tightened ejecta",0.02154,242.0,-17.88
Thales,C29,50.30963,61.70299,31800,0.04191,63.78,65.8,-2.02,"increased diameter to avoid rim, tightened ejecta, removed melt",0.04191,60.4,-3.37
Kepler,C31,321.99111,8.11741,31500,0.01041,1206.40,934.7,271.70,"increased diameter to avoid rim, tightened ejecta",0.01041,1102.8,-103.61
Proclus,C34,46.893,16.066,28200,0.02020,297.77,228.4,69.37,"increased diameter to avoid rim, tightened ejecta",0.02020,276.8,-20.94
Lalande,C42,351.37109,-4.4668,23700,0.01436,611.89,663.3,-51.41,tightened ejecta,0.01436,563.9,-47.95
Moore F,C43,185.03419,37.2864,23600,0.06727,41.00,41,0.00,,0.06727,41.0,0.00
Larmor Q,C45,176.32069,28.6689,23100,0.02421,203.20,219.5,-16.30,tightened ejecta,0.02421,189.8,-13.42
Giordano Bruno,C52,102.8675,35.9665,22100,0.13413,4.00,4,0.00,,0.13413,4.0,0.00
Schwabe F,C55,50.15153,66.42775,21400,0.01115,1045.20,947.6,97.60,"increased diameter to avoid rim, tightened ejecta",0.01115,957.1,-88.11
Innes G,C53,122.4312,26.8637,21100,0.01391,654.54,1298.7,-644.16,tightened ejecta,0.01391,602.8,-51.79
Cleostratus J,C652,276.34058,61.38536,21000,0.01521,542.38,610.4,-68.02,tightened ejecta,0.01521,500.6,-41.78
,C63,238.82208,-67.78464,20500,0.01950,320.94,377.4,-56.46,"increased diameter to avoid rim, tightened ejecta",0.01950,298.1,-22.84
,C62,151.6073,15.389,19100,0.01510,550.18,737.6,-187.42,"increased diameter to avoid rim, tightened ejecta",0.01510,507.7,-42.47
,C61,117.3492,-19.7928,19100,0.02229,241.84,340.2,-98.36,"tightened ejecta, removed melt",0.02229,225.4,-16.45
Dionysius,C79,17.29907,2.7599,18700,0.01441,607.90,324.9,283.00,"increased diameter to avoid rim, tightened ejecta",0.01441,560.3,-47.60
Byrgius A,C66,296.18549,-24.5586,18700,0.04902,47.00,53.8,-6.80,"increased diameter to avoid rim, tightened ejecta",0.04902,47.0,0.00
Sundman V,C67,266.44049,11.95,18200,0.03362,101.57,672.3,-570.73,tightened ejecta,0.03362,95.7,-5.91
Dawes,C75,26.3533,17.2125,17900,0.01501,557.30,492.4,64.90,"increased diameter to avoid rim, tightened ejecta",0.01501,514.2,-43.10
Ventris M,C70,157.86861,-5.6865,17800,0.01619,475.22,487.5,-12.28,tightened ejecta,0.01619,439.3,-35.91
Epigenes A,C82,359.65047,67.01707,17500,0.01723,416.70,182.3,234.40,"increased diameter to avoid rim, slightly tightened ejecta, removed melt",0.01723,385.8,-30.87
,C80,200.5215,1.1231,17200,0.02453,197.65,212.2,-14.55,tightened ejecta,0.02453,184.7,-12.99
Carrel,C94,26.70697,10.6616,16900,0.01871,350.19,344.5,5.69,tightened ejecta,0.01871,324.9,-25.27
,C92,244.51614,-22.07049,16400,0.02169,256.12,206.3,49.82,"increased diameter to avoid rim, tightened ejecta",0.02169,238.5,-17.58
Mandel'shtam F,C100,166.10034,5.09225,16000,0.04912,45.60,40,5.60,"increased diameter to avoid rim, tightened ejecta",0.04912,43.4,-2.24
Ryder,C99,143.27432,-43.87454,15900,0.02731,157.51,164.8,-7.29,"increased diameter to avoid rim, tightened ejecta",0.02731,147.6,-9.95
